,history,ys
1533_2015-05-01_0_1,14,17.52655831089799
1533_2015-05-01_0_2,22,14.548536985049545
1533_2015-05-01_0_3,17,8.737465876746976
1533_2015-05-01_0_4,15,7.3525570752604095
1533_2015-05-01_0_5,10,3.2963008566555265
1533_2015-05-01_0_6,20,5.871854853018314
1533_2015-05-01_1_1,22,13.135753721163205
1533_2015-05-01_1_2,17,7.749946730718452
1533_2015-05-01_1_3,15,6.625032130474139
1533_2015-05-01_1_4,10,2.7582621179559306
1533_2015-05-01_1_5,20,5.4736144423893665
1533_2015-05-01_1_6,18,7.039114086229343
1533_2015-05-01_2_1,17,11.226226966330275
1533_2015-05-01_2_2,15,9.048083863192224
1533_2015-05-01_2_3,10,4.542709703681552
1533_2015-05-01_2_4,20,6.792835236102093
1533_2015-05-01_2_5,18,8.014959171274434
1533_2015-05-01_2_6,13,3.005726904242545
1533_2015-05-01_3_1,15,11.304672101219113
1533_2015-05-01_3_2,10,6.114827915800156
1533_2015-05-01_3_3,20,7.9504610683801795
1533_2015-05-01_3_4,18,8.87061454151554
1533_2015-05-01_3_5,13,3.6384475183664007
1533_2015-05-01_3_6,8,-1.6699452257178156
1533_2015-05-01_4_1,10,7.558286137257245
1533_2015-05-01_4_2,20,8.955986319022411
1533_2015-05-01_4_3,18,9.610985518648148
1533_2015-05-01_4_4,13,4.185633787668182
1533_2015-05-01_4_5,8,-1.2654005628461538
1533_2015-05-01_4_6,8,-3.1901350101954318
1533_2015-05-01_5_1,20,9.909667842581829
1533_2015-05-01_5_2,18,10.27530887601274
1533_2015-05-01_5_3,13,4.674761253874576
1533_2015-05-01_5_4,8,-0.9039215036645603
1533_2015-05-01_5_5,8,-2.922914825680163
1533_2015-05-01_5_6,4,-4.163546932388332
1533_2015-05-01_6_1,18,14.216292228964553
1533_2015-05-01_6_2,13,7.419970005317246
1533_2015-05-01_6_3,8,1.1172813539237736
1533_2015-05-01_6_4,8,-1.4292384530487738
1533_2015-05-01_6_5,4,-3.059427297394149
1533_2015-05-01_6_6,4,-3.730501327426898
1533_2015-05-01_7_1,13,8.897762046446964
1533_2015-05-01_7_2,8,2.1466733334304595
1533_2015-05-01_7_3,8,-0.6713421380416351
1533_2015-05-01_7_4,4,-2.4993520620607095
1533_2015-05-01_7_5,4,-3.316513438948317
1533_2015-05-01_7_6,8,-2.895402477365011
1533_2015-05-01_8_1,8,3.7488641262896265
1533_2015-05-01_8_2,8,0.44469501232004127
1533_2015-05-01_8_3,4,-1.6776725882674612
1533_2015-05-01_8_4,4,-2.7093166256819456
1533_2015-05-01_8_5,8,-2.446601996824637
1533_2015-05-01_8_6,22,-1.2296839458995887
1533_2015-05-01_9_1,8,2.1050294470749398
1533_2015-05-01_9_2,4,-0.5211450174306913
1533_2015-05-01_9_3,4,-1.8578398456895462
1533_2015-05-01_9_4,8,-1.8174042623278694
1533_2015-05-01_9_5,22,-0.7646467067343301
1533_2015-05-01_9_6,14,-2.947931034024028
1533_2015-05-01_10_1,4,1.7811863862467892
1533_2015-05-01_10_2,4,-0.25414495613439314
1533_2015-05-01_10_3,8,-0.636737860624855
1533_2015-05-01_10_4,22,0.107763687202862
1533_2015-05-01_10_5,14,-2.303192686410424
1533_2015-05-01_10_6,3,-4.987863240740716
1533_2015-05-01_11_1,4,0.6124164723098104
1533_2015-05-01_11_2,8,-0.03314820223492898
1533_2015-05-01_11_3,22,0.5521157543459161
1533_2015-05-01_11_4,14,-1.9748825642513923
1533_2015-05-01_11_5,3,-4.7452692586247025
1533_2015-05-01_11_6,4,-3.244618530812324
1533_2015-05-01_12_1,8,1.2898361679406056
1533_2015-05-01_12_2,22,1.473575538000329
1533_2015-05-01_12_3,14,-1.2965768016301529
1533_2015-05-01_12_4,3,-4.2441785296762635
1533_2015-05-01_12_5,4,-2.8744573372569557
1533_2015-05-01_12_6,7,-1.537299422795892
1533_2015-05-01_13_1,22,4.094005844130963
1533_2015-05-01_13_2,14,0.528396019073945
1533_2015-05-01_13_3,3,-2.90098285405504
1533_2015-05-01_13_4,4,-1.8824628124709264
1533_2015-05-01_13_5,7,-0.8048758172645742
1533_2015-05-01_13_6,11,-1.8110732384289645
1533_2015-05-01_14_1,14,7.5202416911694305
1533_2015-05-01_14_2,3,1.9676421323320668
1533_2015-05-01_14_3,4,1.6998871088236411
1533_2015-05-01_14_4,7,1.8394604870475644
1533_2015-05-01_14_5,11,0.13950694392636986
1533_2015-05-01_14_6,8,-0.34929960241183267
1533_2015-05-01_15_1,3,4.497335259023146
1533_2015-05-01_15_2,4,3.460871252146836
1533_2015-05-01_15_3,7,3.1345359142277913
1533_2015-05-01_15_4,11,1.094582691802593
1533_2015-05-01_15_5,8,0.353997462458576
1533_2015-05-01_15_6,7,2.7935742407376685
1533_2015-05-01_16_1,4,2.876520505823036
1533_2015-05-01_16_2,7,2.727972127660338
1533_2015-05-01_16_3,11,0.7958650193650856
1533_2015-05-01_16_4,8,0.13408116773679257
1533_2015-05-01_16_5,7,2.6321455136075658
1533_2015-05-01_16_6,12,4.449933472851486
1533_2015-05-01_17_1,7,3.166136083836601
1533_2015-05-01_17_2,11,1.1004196213468553
1533_2015-05-01_17_3,8,0.3574632819961501
1533_2015-05-01_17_4,7,2.7960787449552154
1533_2015-05-01_17_5,12,4.569554901760088
1533_2015-05-01_17_6,14,13.129209494105112
