,history,ys
1442_2015-05-01_0_1,4,3.2577973937767135
1442_2015-05-01_0_2,3,1.7048714149793878
1442_2015-05-01_0_3,1,0.7233651030352393
1442_2015-05-01_0_4,2,1.601083574914758
1442_2015-05-01_0_5,5,1.0391921374469217
1442_2015-05-01_0_6,6,4.70162348493048
1442_2015-05-01_1_1,3,2.098105546893801
1442_2015-05-01_1_2,1,1.0949464596892189
1442_2015-05-01_1_3,2,1.9568471173086368
1442_2015-05-01_1_4,5,1.383400120032841
1442_2015-05-01_1_5,6,5.037389349775712
1442_2015-05-01_1_6,14,8.876800867071687
1442_2015-05-01_2_1,1,1.4953871950680795
1442_2015-05-01_2_2,2,2.3234205197914495
1442_2015-05-01_2_3,5,1.7252334999671217
1442_2015-05-01_2_4,6,5.361149918664696
1442_2015-05-01_2_5,14,9.187358812031848
1442_2015-05-01_2_6,16,8.925516683544584
1442_2015-05-01_3_1,2,2.120505237346793
1442_2015-05-01_3_2,5,1.5437578947578254
1442_2015-05-01_3_3,6,5.195335771675339
1442_2015-05-01_3_4,14,9.032985317044826
1442_2015-05-01_3_5,16,8.77950067512629
1442_2015-05-01_3_6,7,5.9037336774579305
1442_2015-05-01_4_1,5,1.4966082955751827
1442_2015-05-01_4_2,6,5.153883107451353
1442_2015-05-01_4_3,14,8.995694178945566
1442_2015-05-01_4_4,16,8.74524949556604
1442_2015-05-01_4_5,7,5.871703186791971
1442_2015-05-01_4_6,9,3.9619296360823606
1442_2015-05-01_5_1,6,6.482862677350952
1442_2015-05-01_5_2,14,10.148616350534652
1442_2015-05-01_5_3,16,9.769564829889621
1442_2015-05-01_5_4,7,6.802072817748915
1442_2015-05-01_5_5,9,4.823672425602376
1442_2015-05-01_5_6,7,5.316893127082854
1442_2015-05-01_6_1,14,9.969691922810524
1442_2015-05-01_6_2,16,9.616040661327236
1442_2015-05-01_6_3,7,6.667103045428831
1442_2015-05-01_6_4,9,4.702256363209233
1442_2015-05-01_6_5,7,5.205377931443095
1442_2015-05-01_6_6,8,6.250697084435598
1442_2015-05-01_7_1,16,11.081315452220185
1442_2015-05-01_7_2,7,7.912588303181639
1442_2015-05-01_7_3,9,5.787189937698719
1442_2015-05-01_7_4,7,6.17303119819747
1442_2015-05-01_7_5,8,7.132678414530353
1442_2015-05-01_7_6,10,5.634421375050362
1442_2015-05-01_8_1,7,9.672319997423267
1442_2015-05-01_8_2,9,7.270672326945594
1442_2015-05-01_8_3,7,7.454719515315664
1442_2015-05-01_8_4,8,8.266959851962635
1442_2015-05-01_8_5,10,6.661024056511858
1442_2015-05-01_8_6,8,6.381981776449067
1442_2015-05-01_9_1,9,6.327823251662468
1442_2015-05-01_9_2,7,6.665697255440931
1442_2015-05-01_9_3,8,7.590304578782771
1442_2015-05-01_9_4,10,6.0664506766096515
1442_2015-05-01_9_5,8,5.847367987056844
1442_2015-05-01_9_6,6,5.6108718408620994
1442_2015-05-01_10_1,7,7.597036091067616
1442_2015-05-01_10_2,8,8.364568367033003
1442_2015-05-01_10_3,10,6.725974833821873
1442_2015-05-01_10_4,8,6.423077195710096
1442_2015-05-01_10_5,6,6.125355603300774
