,history,ys
1336_2015-05-01_0_1,13,-3.3899215485231196
1336_2015-05-01_0_2,6,-13.40384239948461
1336_2015-05-01_0_3,7,-18.659920294295112
1336_2015-05-01_0_4,10,-18.32237371103904
1336_2015-05-01_0_5,18,-7.865728848603339
1336_2015-05-01_0_6,60,25.890694064792783
1336_2015-05-01_1_1,6,-4.126383057519284
1336_2015-05-01_1_2,7,-10.753010200840507
1336_2015-05-01_1_3,10,-11.32128187915832
1336_2015-05-01_1_4,18,-1.465117414189507
1336_2015-05-01_1_5,60,31.891519546028434
1336_2015-05-01_1_6,147,79.49159897349415
1336_2015-05-01_2_1,7,-5.400648765150315
1336_2015-05-01_2_2,10,-6.911923789799339
1336_2015-05-01_2_3,18,2.321766457676425
1336_2015-05-01_2_4,60,35.266454369775275
1336_2015-05-01_2_5,147,82.59288312245982
1336_2015-05-01_2_6,140,100.31093081399703
1336_2015-05-01_3_1,10,-0.5429132562046632
1336_2015-05-01_3_2,18,7.4698366422617255
1336_2015-05-01_3_3,60,39.608936098677724
1336_2015-05-01_3_4,147,86.40253687390725
1336_2015-05-01_3_5,140,103.76688575553692
1336_2015-05-01_3_6,101,81.16331462784976
1336_2015-05-01_4_1,18,12.785268293099385
1336_2015-05-01_4_2,60,43.84717404723285
1336_2015-05-01_4_3,147,89.93017104055218
1336_2015-05-01_4_4,140,106.82462325442103
1336_2015-05-01_4_5,101,83.90919459291521
1336_2015-05-01_4_6,110,68.90811385011197
1336_2015-05-01_5_1,60,46.4386819560542
1336_2015-05-01_5_2,147,91.97363306262301
1336_2015-05-01_5_3,140,108.50657660721345
1336_2015-05-01_5_4,101,85.35210528200875
1336_2015-05-01_5_5,110,70.19236639359183
1336_2015-05-01_5_6,73,61.54487278468528
1336_2015-05-01_6_1,147,98.63285166377139
1336_2015-05-01_6_2,140,113.70773407217061
1336_2015-05-01_6_3,101,89.59146381699523
1336_2015-05-01_6_4,110,73.79568229502763
1336_2015-05-01_6_5,73,64.7258948749475
1336_2015-05-01_6_6,89,64.3481968149615
1336_2015-05-01_7_1,140,137.21673415038117
1336_2015-05-01_7_2,101,107.80090199767403
1336_2015-05-01_7_3,110,88.50897438539431
1336_2015-05-01_7_4,73,77.12660212407488
1336_2015-05-01_7_5,89,75.21258533031822
1336_2015-05-01_7_6,100,72.94091008251851
1336_2015-05-01_8_1,101,109.14179315245696
1336_2015-05-01_8_2,110,89.53997853826473
1336_2015-05-01_8_3,73,77.95313656036123
1336_2015-05-01_8_4,89,75.90381583855196
1336_2015-05-01_8_5,100,73.54217355402434
1336_2015-05-01_8_6,126,99.27982339043677
1336_2015-05-01_9_1,110,85.64783294059724
1336_2015-05-01_9_2,73,74.98008686589505
1336_2015-05-01_9_3,89,73.53736636959859
1336_2015-05-01_9_4,100,71.57736609642464
1336_2015-05-01_9_5,126,97.58242319773626
1336_2015-05-01_9_6,132,87.4106825279529
1336_2015-05-01_10_1,73,86.54176460472183
1336_2015-05-01_10_2,89,82.31663798279959
1336_2015-05-01_10_3,100,78.51955563485922
1336_2015-05-01_10_4,126,103.30722939310682
1336_2015-05-01_10_5,132,92.3234930376988
1336_2015-05-01_10_6,100,78.97254202242532
1336_2015-05-01_11_1,89,75.92691044021576
1336_2015-05-01_11_2,100,73.6937805090912
1336_2015-05-01_11_3,126,99.5146078073823
1336_2015-05-01_11_4,132,89.21631642395047
1336_2015-05-01_11_5,100,76.32373170681254
1336_2015-05-01_11_6,109,89.1679238915868
1336_2015-05-01_12_1,100,79.82793070893567
1336_2015-05-01_12_2,126,104.1241330875209
1336_2015-05-01_12_3,132,92.81791040499422
1336_2015-05-01_12_4,100,79.25551092160356
1336_2015-05-01_12_5,109,91.65016748186807
1336_2015-05-01_12_6,148,102.60903031489269
1336_2015-05-01_13_1,126,113.54045829748483
1336_2015-05-01_13_2,132,99.86023534608537
1336_2015-05-01_13_3,100,84.72671678768506
1336_2015-05-01_13_4,109,96.07485312779261
1336_2015-05-01_13_5,148,106.32775504665753
1336_2015-05-01_13_6,132,94.64450566485675
1336_2015-05-01_14_1,132,105.64803471412306
1336_2015-05-01_14_2,100,89.03530398682193
1336_2015-05-01_14_3,109,99.4030120380691
1336_2015-05-01_14_4,148,109.00066345236772
1336_2015-05-01_14_5,132,96.8721542926892
1336_2015-05-01_14_6,96,66.55647287054666
1336_2015-05-01_15_1,100,101.21853689673635
1336_2015-05-01_15_2,109,108.4300687860442
1336_2015-05-01_15_3,148,115.9311997542838
1336_2015-05-01_15_4,132,102.39470536092958
1336_2015-05-01_15_5,96,71.11215372142476
1336_2015-05-01_15_6,52,57.74202112860955
1336_2015-05-01_16_1,109,107.86941100885983
1336_2015-05-01_16_2,148,115.51785944750944
1336_2015-05-01_16_3,132,102.07953989517665
1336_2015-05-01_16_4,96,70.86339369524475
1336_2015-05-01_16_5,52,57.53956264180046
1336_2015-05-01_16_6,52,50.38591468163054
1336_2015-05-01_17_1,148,116.03537290033472
1336_2015-05-01_17_2,132,102.45889658561751
1336_2015-05-01_17_3,96,71.15022724651104
1336_2015-05-01_17_4,52,57.763138590732055
1336_2015-05-01_17_5,52,50.56438845288491
