,history,predict
1075_2016-04-30_23_6,8.0,13.654525
1075_2016-05-01_0_6,10.0,17.555965
1075_2016-05-01_1_6,21.0,18.557964
1075_2016-05-01_2_6,17.0,25.244555
1075_2016-05-01_3_6,23.0,40.264755
1075_2016-05-01_4_6,51.0,62.622456
1075_2016-05-01_5_6,73.0,80.1987
1075_2016-05-01_6_6,99.0,104.74426
1075_2016-05-01_7_6,96.0,116.074066
1075_2016-05-01_8_6,96.0,115.73602
1075_2016-05-01_9_6,102.0,120.17275
1075_2016-05-01_10_6,91.0,110.13522
1075_2016-05-01_11_6,85.0,108.555595
1075_2016-05-01_12_6,70.0,106.061195
1075_2016-05-01_13_6,55.0,80.07534
1075_2016-05-01_14_6,48.0,69.78606
1075_2016-05-01_15_6,32.0,62.323547
1075_2016-05-01_16_6,21.0,44.936596
1075_2016-05-01_17_6,20.0,26.847782
1075_2016-05-01_18_6,12.0,15.0090275
1075_2016-05-01_19_6,4.0,8.48774
1075_2016-05-01_20_6,5.0,3.8985033
1075_2016-05-01_21_6,3.0,3.530526
1075_2016-05-01_22_6,5.0,4.6157084
1075_2016-05-01_23_6,7.0,6.6995397
1075_2016-05-02_0_6,22.0,17.92954
1075_2016-05-02_1_6,42.0,33.10956
1075_2016-05-02_2_6,85.0,59.97575
1075_2016-05-02_3_6,57.0,53.045986
1075_2016-05-02_4_6,55.0,57.796062
1075_2016-05-02_5_6,69.0,71.00056
1075_2016-05-02_6_6,90.0,84.8747
1075_2016-05-02_7_6,84.0,95.9915
1075_2016-05-02_8_6,119.0,105.63511
1075_2016-05-02_9_6,96.0,108.26925
1075_2016-05-02_10_6,91.0,87.84656
1075_2016-05-02_11_6,95.0,91.75041
1075_2016-05-02_12_6,104.0,105.555664
1075_2016-05-02_13_6,101.0,97.31288
1075_2016-05-02_14_6,110.0,92.471855
1075_2016-05-02_15_6,114.0,82.00618
1075_2016-05-02_16_6,97.0,59.979324
1075_2016-05-02_17_6,59.0,37.84773
1075_2016-05-02_18_6,21.0,21.172932
1075_2016-05-02_19_6,21.0,13.223679
1075_2016-05-02_20_6,5.0,6.6310887
1075_2016-05-02_21_6,3.0,4.4204397
1075_2016-05-02_22_6,6.0,5.4255886
1075_2016-05-02_23_6,3.0,10.754053
1075_2016-05-03_0_6,26.0,23.189959
1075_2016-05-03_1_6,51.0,43.232613
1075_2016-05-03_2_6,92.0,79.10085
1075_2016-05-03_3_6,79.0,68.629295
1075_2016-05-03_4_6,70.0,63.94598
1075_2016-05-03_5_6,80.0,78.55617
1075_2016-05-03_6_6,76.0,90.298035
1075_2016-05-03_7_6,108.0,97.683945
1075_2016-05-03_8_6,86.0,103.17088
1075_2016-05-03_9_6,91.0,100.86396
1075_2016-05-03_10_6,68.0,79.03461
1075_2016-05-03_11_6,100.0,90.91019
1075_2016-05-03_12_6,132.0,106.35876
1075_2016-05-03_13_6,122.0,110.569534
