,history,predict
1075_2016-04-30_23_1,71.0,70.32516
1075_2016-05-01_0_1,37.0,47.449146
1075_2016-05-01_1_1,10.0,25.61392
1075_2016-05-01_2_1,14.0,11.7185
1075_2016-05-01_3_1,6.0,10.316699
1075_2016-05-01_4_1,8.0,9.481464
1075_2016-05-01_5_1,10.0,13.728024
1075_2016-05-01_6_1,21.0,14.440324
1075_2016-05-01_7_1,17.0,26.668936
1075_2016-05-01_8_1,23.0,37.52728
1075_2016-05-01_9_1,51.0,53.816765
1075_2016-05-01_10_1,73.0,75.655876
1075_2016-05-01_11_1,99.0,97.46794
1075_2016-05-01_12_1,96.0,112.951416
1075_2016-05-01_13_1,96.0,106.3378
1075_2016-05-01_14_1,102.0,111.85769
1075_2016-05-01_15_1,91.0,99.84392
1075_2016-05-01_16_1,85.0,96.54014
1075_2016-05-01_17_1,70.0,86.54489
1075_2016-05-01_18_1,55.0,66.38929
1075_2016-05-01_19_1,48.0,53.513668
1075_2016-05-01_20_1,32.0,47.290203
1075_2016-05-01_21_1,21.0,29.936975
1075_2016-05-01_22_1,20.0,17.669914
1075_2016-05-01_23_1,12.0,11.721508
1075_2016-05-02_0_1,4.0,9.301816
1075_2016-05-02_1_1,5.0,3.8068414
1075_2016-05-02_2_1,3.0,3.081151
1075_2016-05-02_3_1,5.0,3.7173843
1075_2016-05-02_4_1,7.0,7.8048787
1075_2016-05-02_5_1,22.0,18.40166
1075_2016-05-02_6_1,42.0,36.62713
1075_2016-05-02_7_1,85.0,64.603455
1075_2016-05-02_8_1,57.0,64.25668
1075_2016-05-02_9_1,55.0,60.588886
1075_2016-05-02_10_1,69.0,69.712715
1075_2016-05-02_11_1,90.0,82.78
1075_2016-05-02_12_1,84.0,97.001785
1075_2016-05-02_13_1,119.0,100.22891
1075_2016-05-02_14_1,96.0,109.83362
1075_2016-05-02_15_1,91.0,84.44954
1075_2016-05-02_16_1,95.0,92.51668
1075_2016-05-02_17_1,104.0,109.79572
1075_2016-05-02_18_1,101.0,97.06664
1075_2016-05-02_19_1,110.0,93.65404
1075_2016-05-02_20_1,114.0,91.46312
1075_2016-05-02_21_1,97.0,70.79236
1075_2016-05-02_22_1,59.0,53.851646
1075_2016-05-02_23_1,21.0,32.07763
1075_2016-05-03_0_1,21.0,16.52113
1075_2016-05-03_1_1,5.0,9.616449
1075_2016-05-03_2_1,3.0,4.1765327
1075_2016-05-03_3_1,6.0,4.113036
1075_2016-05-03_4_1,3.0,9.959587
1075_2016-05-03_5_1,26.0,20.424873
1075_2016-05-03_6_1,51.0,43.218014
1075_2016-05-03_7_1,92.0,85.463
1075_2016-05-03_8_1,79.0,74.56302
