,history,predict
1075_2016-04-30_23_2,37.0,48.206028
1075_2016-05-01_0_2,10.0,31.309351
1075_2016-05-01_1_2,14.0,17.082594
1075_2016-05-01_2_2,6.0,9.332579
1075_2016-05-01_3_2,8.0,11.46623
1075_2016-05-01_4_2,10.0,14.674476
1075_2016-05-01_5_2,21.0,16.530142
1075_2016-05-01_6_2,17.0,23.843174
1075_2016-05-01_7_2,23.0,40.658016
1075_2016-05-01_8_2,51.0,59.332596
1075_2016-05-01_9_2,73.0,75.730125
1075_2016-05-01_10_2,99.0,95.68435
1075_2016-05-01_11_2,96.0,111.87331
1075_2016-05-01_12_2,96.0,112.15364
1075_2016-05-01_13_2,102.0,115.57103
1075_2016-05-01_14_2,91.0,106.02989
1075_2016-05-01_15_2,85.0,100.50833
1075_2016-05-01_16_2,70.0,92.74268
1075_2016-05-01_17_2,55.0,70.57212
1075_2016-05-01_18_2,48.0,58.40883
1075_2016-05-01_19_2,32.0,47.607655
1075_2016-05-01_20_2,21.0,38.95695
1075_2016-05-01_21_2,20.0,22.969406
1075_2016-05-01_22_2,12.0,11.09978
1075_2016-05-01_23_2,4.0,8.854141
1075_2016-05-02_0_2,5.0,3.4079113
1075_2016-05-02_1_2,3.0,2.478993
1075_2016-05-02_2_2,5.0,4.444809
1075_2016-05-02_3_2,7.0,7.189718
1075_2016-05-02_4_2,22.0,19.435404
1075_2016-05-02_5_2,42.0,35.149014
1075_2016-05-02_6_2,85.0,60.26804
1075_2016-05-02_7_2,57.0,54.988686
1075_2016-05-02_8_2,55.0,63.37238
1075_2016-05-02_9_2,69.0,71.18172
1075_2016-05-02_10_2,90.0,86.212776
1075_2016-05-02_11_2,84.0,95.027245
1075_2016-05-02_12_2,119.0,106.6689
1075_2016-05-02_13_2,96.0,105.06526
1075_2016-05-02_14_2,91.0,91.29038
1075_2016-05-02_15_2,95.0,90.849014
1075_2016-05-02_16_2,104.0,109.19957
1075_2016-05-02_17_2,101.0,100.52639
1075_2016-05-02_18_2,110.0,89.98062
1075_2016-05-02_19_2,114.0,83.55783
1075_2016-05-02_20_2,97.0,61.718437
1075_2016-05-02_21_2,59.0,44.065228
1075_2016-05-02_22_2,21.0,30.668404
1075_2016-05-02_23_2,21.0,21.078625
1075_2016-05-03_0_2,5.0,8.095379
1075_2016-05-03_1_2,3.0,5.5388684
1075_2016-05-03_2_2,6.0,4.3704643
1075_2016-05-03_3_2,3.0,8.790863
1075_2016-05-03_4_2,26.0,22.77962
1075_2016-05-03_5_2,51.0,41.5864
1075_2016-05-03_6_2,92.0,81.75971
1075_2016-05-03_7_2,79.0,69.74203
1075_2016-05-03_8_2,70.0,67.07404
1075_2016-05-03_9_2,80.0,81.70189
1075_2016-05-03_10_2,76.0,95.70084
1075_2016-05-03_11_2,108.0,98.64228
1075_2016-05-03_12_2,86.0,102.21098
1075_2016-05-03_13_2,91.0,101.96646
1075_2016-05-03_14_2,68.0,71.40927
1075_2016-05-03_15_2,100.0,85.18718
1075_2016-05-03_16_2,132.0,102.66419
1075_2016-05-03_17_2,122.0,112.508286
1075_2016-05-03_18_2,97.0,117.08064
1075_2016-05-03_19_2,73.0,120.353836
1075_2016-05-03_20_2,103.0,83.58627
1075_2016-05-03_21_2,72.0,46.39871
1075_2016-05-03_22_2,37.0,31.156487
1075_2016-05-03_23_2,20.0,21.864609
1075_2016-05-04_0_2,11.0,11.165508
1075_2016-05-04_1_2,6.0,5.647186
1075_2016-05-04_2_2,2.0,5.6476235
1075_2016-05-04_3_2,16.0,9.205331
1075_2016-05-04_4_2,26.0,22.20285
1075_2016-05-04_5_2,50.0,48.871544
1075_2016-05-04_6_2,89.0,83.34461
1075_2016-05-04_7_2,80.0,69.06131
1075_2016-05-04_8_2,57.0,69.00058
1075_2016-05-04_9_2,83.0,85.72294
1075_2016-05-04_10_2,117.0,89.90957
1075_2016-05-04_11_2,118.0,104.185936
1075_2016-05-04_12_2,110.0,112.970985
1075_2016-05-04_13_2,97.0,107.230286
1075_2016-05-04_14_2,51.0,81.14009
1075_2016-05-04_15_2,93.0,93.38138
1075_2016-05-04_16_2,123.0,104.582886
1075_2016-05-04_17_2,120.0,116.439384
1075_2016-05-04_18_2,109.0,117.21383
1075_2016-05-04_19_2,143.0,125.51856
1075_2016-05-04_20_2,98.0,99.43411
1075_2016-05-04_21_2,52.0,72.48336
1075_2016-05-04_22_2,47.0,37.423813
1075_2016-05-04_23_2,12.0,19.665545
1075_2016-05-05_0_2,9.0,13.175554
1075_2016-05-05_1_2,3.0,4.2788925
1075_2016-05-05_2_2,5.0,4.7099533
1075_2016-05-05_3_2,13.0,9.717976
1075_2016-05-05_4_2,24.0,23.396034
1075_2016-05-05_5_2,45.0,49.799946
1075_2016-05-05_6_2,83.0,83.03646
1075_2016-05-05_7_2,74.0,69.756775
1075_2016-05-05_8_2,59.0,63.514614
1075_2016-05-05_9_2,79.0,82.60219
1075_2016-05-05_10_2,87.0,104.09772
1075_2016-05-05_11_2,121.0,105.44281
1075_2016-05-05_12_2,131.0,106.12384
1075_2016-05-05_13_2,109.0,104.71289
1075_2016-05-05_14_2,97.0,79.5052
1075_2016-05-05_15_2,117.0,98.28139
1075_2016-05-05_16_2,139.0,120.4388
1075_2016-05-05_17_2,119.0,128.69472
1075_2016-05-05_18_2,120.0,126.74
1075_2016-05-05_19_2,170.0,131.6467
1075_2016-05-05_20_2,118.0,114.0462
1075_2016-05-05_21_2,101.0,87.692894
1075_2016-05-05_22_2,66.0,51.517357
1075_2016-05-05_23_2,26.0,31.800108
1075_2016-05-06_0_2,17.0,20.062777
1075_2016-05-06_1_2,18.0,10.480195
