,history,predict
1075_2016-04-30_23_5,6.0,14.929579
1075_2016-05-01_0_5,8.0,12.437019
1075_2016-05-01_1_5,10.0,17.601387
1075_2016-05-01_2_5,21.0,18.686771
1075_2016-05-01_3_5,17.0,26.949955
1075_2016-05-01_4_5,23.0,39.95164
1075_2016-05-01_5_5,51.0,60.67496
1075_2016-05-01_6_5,73.0,81.10193
1075_2016-05-01_7_5,99.0,108.59736
1075_2016-05-01_8_5,96.0,113.81788
1075_2016-05-01_9_5,96.0,114.45367
1075_2016-05-01_10_5,102.0,120.30121
1075_2016-05-01_11_5,91.0,109.8562
1075_2016-05-01_12_5,85.0,104.853714
1075_2016-05-01_13_5,70.0,93.495316
1075_2016-05-01_14_5,55.0,74.71042
1075_2016-05-01_15_5,48.0,64.84392
1075_2016-05-01_16_5,32.0,55.979023
1075_2016-05-01_17_5,21.0,40.602806
1075_2016-05-01_18_5,20.0,26.871252
1075_2016-05-01_19_5,12.0,14.7642
1075_2016-05-01_20_5,4.0,9.290457
1075_2016-05-01_21_5,5.0,5.4461
1075_2016-05-01_22_5,3.0,3.375555
1075_2016-05-01_23_5,5.0,3.9191666
1075_2016-05-02_0_5,7.0,6.664992
1075_2016-05-02_1_5,22.0,17.420565
1075_2016-05-02_2_5,42.0,36.261463
1075_2016-05-02_3_5,85.0,62.55214
1075_2016-05-02_4_5,57.0,55.675945
1075_2016-05-02_5_5,55.0,58.172134
1075_2016-05-02_6_5,69.0,70.064674
1075_2016-05-02_7_5,90.0,85.43644
1075_2016-05-02_8_5,84.0,99.520134
1075_2016-05-02_9_5,119.0,105.372444
1075_2016-05-02_10_5,96.0,105.67616
1075_2016-05-02_11_5,91.0,86.779144
1075_2016-05-02_12_5,95.0,92.29899
1075_2016-05-02_13_5,104.0,105.317184
1075_2016-05-02_14_5,101.0,100.57688
1075_2016-05-02_15_5,110.0,89.84371
1075_2016-05-02_16_5,114.0,82.68628
1075_2016-05-02_17_5,97.0,59.780434
1075_2016-05-02_18_5,59.0,38.160236
1075_2016-05-02_19_5,21.0,19.38029
1075_2016-05-02_20_5,21.0,15.299406
1075_2016-05-02_21_5,5.0,8.302826
1075_2016-05-02_22_5,3.0,6.8013153
1075_2016-05-02_23_5,6.0,6.738332
