,history,predict
1075_2016-04-30_23_4,14.0,20.023386
1075_2016-05-01_0_4,6.0,14.363322
1075_2016-05-01_1_4,8.0,12.251057
1075_2016-05-01_2_4,10.0,14.925864
1075_2016-05-01_3_4,21.0,18.245226
1075_2016-05-01_4_4,17.0,26.794521
1075_2016-05-01_5_4,23.0,40.3325
1075_2016-05-01_6_4,51.0,60.99659
1075_2016-05-01_7_4,73.0,81.452126
1075_2016-05-01_8_4,99.0,101.87048
1075_2016-05-01_9_4,96.0,111.83487
1075_2016-05-01_10_4,96.0,112.331894
1075_2016-05-01_11_4,102.0,119.15376
1075_2016-05-01_12_4,91.0,110.19916
1075_2016-05-01_13_4,85.0,105.89788
1075_2016-05-01_14_4,70.0,99.44947
1075_2016-05-01_15_4,55.0,76.61636
1075_2016-05-01_16_4,48.0,64.85264
1075_2016-05-01_17_4,32.0,58.43937
1075_2016-05-01_18_4,21.0,44.323364
1075_2016-05-01_19_4,20.0,25.192177
1075_2016-05-01_20_4,12.0,15.804276
1075_2016-05-01_21_4,4.0,9.479939
1075_2016-05-01_22_4,5.0,4.1960373
1075_2016-05-01_23_4,3.0,3.1824892
1075_2016-05-02_0_4,5.0,4.2888536
1075_2016-05-02_1_4,7.0,6.175518
1075_2016-05-02_2_4,22.0,18.518444
1075_2016-05-02_3_4,42.0,35.094025
1075_2016-05-02_4_4,85.0,61.546757
1075_2016-05-02_5_4,57.0,53.46754
1075_2016-05-02_6_4,55.0,57.854565
1075_2016-05-02_7_4,69.0,70.50539
1075_2016-05-02_8_4,90.0,90.1249
1075_2016-05-02_9_4,84.0,96.23404
1075_2016-05-02_10_4,119.0,104.0932
1075_2016-05-02_11_4,96.0,108.55775
1075_2016-05-02_12_4,91.0,89.15591
1075_2016-05-02_13_4,95.0,91.39278
1075_2016-05-02_14_4,104.0,108.03174
1075_2016-05-02_15_4,101.0,99.13024
1075_2016-05-02_16_4,110.0,89.47461
1075_2016-05-02_17_4,114.0,82.113335
1075_2016-05-02_18_4,97.0,58.348434
1075_2016-05-02_19_4,59.0,37.35393
1075_2016-05-02_20_4,21.0,23.17751
1075_2016-05-02_21_4,21.0,17.030312
1075_2016-05-02_22_4,5.0,11.152662
1075_2016-05-02_23_4,3.0,6.2255282
1075_2016-05-03_0_4,6.0,4.384349
1075_2016-05-03_1_4,3.0,10.591322
1075_2016-05-03_2_4,26.0,23.266687
1075_2016-05-03_3_4,51.0,43.086697
1075_2016-05-03_4_4,92.0,79.15183
1075_2016-05-03_5_4,79.0,67.30084
1075_2016-05-03_6_4,70.0,63.51771
1075_2016-05-03_7_4,80.0,79.404305
1075_2016-05-03_8_4,76.0,93.42039
1075_2016-05-03_9_4,108.0,99.9408
1075_2016-05-03_10_4,86.0,106.75533
1075_2016-05-03_11_4,91.0,102.3604
1075_2016-05-03_12_4,68.0,75.240105
1075_2016-05-03_13_4,100.0,92.02728
1075_2016-05-03_14_4,132.0,104.63735
1075_2016-05-03_15_4,122.0,107.62602
1075_2016-05-03_16_4,97.0,107.60275
1075_2016-05-03_17_4,73.0,116.25359
1075_2016-05-03_18_4,103.0,93.193954
1075_2016-05-03_19_4,72.0,59.62307
1075_2016-05-03_20_4,37.0,29.681175
1075_2016-05-03_21_4,20.0,15.87236
1075_2016-05-03_22_4,11.0,9.179404
1075_2016-05-03_23_4,6.0,6.100414
1075_2016-05-04_0_4,2.0,5.9824486
1075_2016-05-04_1_4,16.0,9.114263
1075_2016-05-04_2_4,26.0,22.863935
1075_2016-05-04_3_4,50.0,46.713207
1075_2016-05-04_4_4,89.0,81.4323
1075_2016-05-04_5_4,80.0,70.2699
1075_2016-05-04_6_4,57.0,67.55541
1075_2016-05-04_7_4,83.0,82.138176
1075_2016-05-04_8_4,117.0,91.39761
1075_2016-05-04_9_4,118.0,106.96689
1075_2016-05-04_10_4,110.0,106.09889
1075_2016-05-04_11_4,97.0,100.34555
1075_2016-05-04_12_4,51.0,82.81535
1075_2016-05-04_13_4,93.0,96.23567
1075_2016-05-04_14_4,123.0,117.86951
1075_2016-05-04_15_4,120.0,120.189224
1075_2016-05-04_16_4,109.0,112.253624
1075_2016-05-04_17_4,143.0,117.514496
1075_2016-05-04_18_4,98.0,104.853065
1075_2016-05-04_19_4,52.0,70.312386
1075_2016-05-04_20_4,47.0,38.112587
1075_2016-05-04_21_4,12.0,24.580688
1075_2016-05-04_22_4,9.0,12.078831
1075_2016-05-04_23_4,3.0,4.9616704
1075_2016-05-05_0_4,5.0,5.86265
1075_2016-05-05_1_4,13.0,9.518524
1075_2016-05-05_2_4,24.0,23.883497
1075_2016-05-05_3_4,45.0,48.483486
1075_2016-05-05_4_4,83.0,80.60214
1075_2016-05-05_5_4,74.0,70.62798
1075_2016-05-05_6_4,59.0,63.848907
1075_2016-05-05_7_4,79.0,79.531494
1075_2016-05-05_8_4,87.0,104.97853
1075_2016-05-05_9_4,121.0,107.49701
1075_2016-05-05_10_4,131.0,105.577095
1075_2016-05-05_11_4,109.0,102.297424
1075_2016-05-05_12_4,97.0,72.68126
1075_2016-05-05_13_4,117.0,97.3464
1075_2016-05-05_14_4,139.0,118.61455
1075_2016-05-05_15_4,119.0,121.887665
1075_2016-05-05_16_4,120.0,119.317604
1075_2016-05-05_17_4,170.0,133.54959
1075_2016-05-05_18_4,118.0,117.95947
1075_2016-05-05_19_4,101.0,76.501114
1075_2016-05-05_20_4,66.0,53.444687
1075_2016-05-05_21_4,26.0,32.856533
1075_2016-05-05_22_4,17.0,17.569965
1075_2016-05-05_23_4,18.0,12.264367
1075_2016-05-06_0_4,8.0,10.29661
1075_2016-05-06_1_4,14.0,11.741025
1075_2016-05-06_2_4,34.0,27.074635
1075_2016-05-06_3_4,66.0,43.868618
1075_2016-05-06_4_4,129.0,71.47245
1075_2016-05-06_5_4,91.0,69.01404
1075_2016-05-06_6_4,91.0,66.390335
1075_2016-05-06_7_4,78.0,81.95715
1075_2016-05-06_8_4,90.0,108.55273
1075_2016-05-06_9_4,96.0,112.00381
1075_2016-05-06_10_4,96.0,121.19506
1075_2016-05-06_11_4,82.0,112.973976
1075_2016-05-06_12_4,66.0,85.57953
1075_2016-05-06_13_4,100.0,102.400826
1075_2016-05-06_14_4,121.0,127.96182
